NV Item Name;NV ID
NV_WCDMA_MAX_TX_POWER_I;876
NV_RRC_INTEGRITY_ENABLED_I;880
NV_RRC_CIPHERING_ENABLED_I;881
NV_RRC_FAKE_SECURITY_ENABLED_I;882
NV_GSM_GAINRANGE_SWITCHPOINTS_I;916
NV_DCS_GAINRANGE_SWITCHPOINTS_I;917
NV_VCO_COARSE_TUNE_TABLE_I;931
NV_BAND_PREF_16_31_I;946
NV_FORCE_UE_SGSNR_R99_I;1030
NV_FORCE_UE_MSCR_R99_I;1031
NV_GSM_1900_CAL_ARFCN_I;1057
NV_GSM_1900_RX_GAIN_RANGE_1_FREQ_COMP_I;1058
NV_GSM_1900_RX_GAIN_RANGE_2_FREQ_COMP_I;1059
NV_GSM_1900_RX_GAIN_RANGE_3_FREQ_COMP_I;1060
NV_GSM_1900_RX_GAIN_RANGE_4_FREQ_COMP_I;1061
NV_GSM_1900_TX_BURST_RAMP_UP_INDEX_00_I;1062
NV_GSM_1900_VBATT_HI_PA_COMP_I;1096
NV_GSM_1900_VBATT_LO_PA_COMP_I;1097
NV_GSM_1900_PA_START_TIME_OFFSET_I;1098
NV_GSM_1900_PA_STOP_TIME_OFFSET_I;1099
NV_GSM_1900_GAINRANGE_SWITCHPOINTS_I;1100
NV_GSM_850_CAL_ARFCN_I;1101
NV_GSM_850_RX_GAIN_RANGE_1_FREQ_COMP_I;1102
NV_GSM_850_RX_GAIN_RANGE_2_FREQ_COMP_I;1103
NV_GSM_850_RX_GAIN_RANGE_3_FREQ_COMP_I;1104
NV_GSM_850_RX_GAIN_RANGE_4_FREQ_COMP_I;1105
NV_GSM_850_TX_BURST_RAMP_UP_INDEX_00_I;1106
NV_GSM_850_VBATT_HI_PA_COMP_I;1138
NV_GSM_850_VBATT_LO_PA_COMP_I;1139
NV_GSM_850_PA_START_TIME_OFFSET_I;1140
NV_GSM_850_PA_STOP_TIME_OFFSET_I;1141
NV_GSM_850_GAINRANGE_SWITCHPOINTS_I;1142
NV_WCDMA_1900_VGA_GAIN_OFFSET_I;1143
NV_WCDMA_1900_VGA_GAIN_OFFSET_VS_FREQ_I;1144
